"Geo Detection Management", "Управление определением месторасположения"
"Drag iplocation region from right column and drop it to another region in left column", "Возьмите регион (из таблицы с IP) из правой колонки и перетащите на регион в левой колонке"
"Save connections", "Сохранить связи"
